20,5,0.066128
20,7,0.25856
20,18,0.37689
19,14,0.084112
19,3,0.098954
19,15,0.12718
18,5,0.33213
18,10,0.33796
18,12,0.3523
17,11,0.10502
17,8,0.14648
17,12,0.22797
16,19,0.20268
16,15,0.20837
16,3,0.26253
15,14,0.10732
15,6,0.12161
15,3,0.22507
14,6,0.063955
14,3,0.15206
14,16,0.26572
13,8,0.35983
13,18,0.55092
13,5,0.8747
12,10,0.020395
12,11,0.12296
12,8,0.35269
11,10,0.14106
11,8,0.23623
11,16,0.35957
10,17,0.24586
10,8,0.37248
10,1,0.77674
8,16,0.54073
8,19,0.71675
8,3,0.79721
7,5,0.19654
6,19,0.14738
6,3,0.21142
6,16,0.31343
5,6,1.0189
4,1,0.13023
4,2,0.18842
4,6,0.36695
3,4,0.55397
3,11,0.62157
3,17,0.66051
2,1,0.17615
2,6,0.50167
1,6,0.49565
1,14,0.53867
1,19,0.58954
